slug,url
ciara-martin,https://signal.nfx.com/investors/ciara-martin
cillin-o-flynn,https://signal.nfx.com/investors/cillin-o-flynn
cindy-mcadam,https://signal.nfx.com/investors/cindy-mcadam
ciro-campagnoli,https://signal.nfx.com/investors/ciro-campagnoli
claire-biernacki,https://signal.nfx.com/investors/claire-biernacki
claire-cramm,https://signal.nfx.com/investors/claire-cramm
claire-diaz-ortiz,https://signal.nfx.com/investors/claire-diaz-ortiz
claire-zhang_1,https://signal.nfx.com/investors/claire-zhang_1
clara-lim,https://signal.nfx.com/investors/clara-lim
clarence-deng,https://signal.nfx.com/investors/clarence-deng
clarence-zhou,https://signal.nfx.com/investors/clarence-zhou
clarey-zhu,https://signal.nfx.com/investors/clarey-zhu
clark-feng,https://signal.nfx.com/investors/clark-feng
claudia-denton,https://signal.nfx.com/investors/claudia-denton
claudia-salazar-orozco,https://signal.nfx.com/investors/claudia-salazar-orozco
claudio-schlegel,https://signal.nfx.com/investors/claudio-schlegel
clay-berger,https://signal.nfx.com/investors/clay-berger
clayton-bryan,https://signal.nfx.com/investors/clayton-bryan
cliff-boro,https://signal.nfx.com/investors/cliff-boro
cliff-t,https://signal.nfx.com/investors/cliff-t
clifford-sobel,https://signal.nfx.com/investors/clifford-sobel
clint-dempster,https://signal.nfx.com/investors/clint-dempster
cobi-druxerman,https://signal.nfx.com/investors/cobi-druxerman
coddy-johnson,https://signal.nfx.com/investors/coddy-johnson
coen-armstrong,https://signal.nfx.com/investors/coen-armstrong
cole-lundquist,https://signal.nfx.com/investors/cole-lundquist
cole-petersen,https://signal.nfx.com/investors/cole-petersen
colin-beirne,https://signal.nfx.com/investors/colin-beirne
colin-magne,https://signal.nfx.com/investors/colin-magne
colin-motley,https://signal.nfx.com/investors/colin-motley
collin-mazgaloff,https://signal.nfx.com/investors/collin-mazgaloff
colton-cray,https://signal.nfx.com/investors/colton-cray
connie-koh,https://signal.nfx.com/investors/connie-koh
connie-lee,https://signal.nfx.com/investors/connie-lee
connor-grimes,https://signal.nfx.com/investors/connor-grimes
connor-kaczynski,https://signal.nfx.com/investors/connor-kaczynski
connor-mcgill,https://signal.nfx.com/investors/connor-mcgill
